Designator,Mid X,Mid Y,Layer,Rotation
BT1,84.2750mm,-104.7927mm,Top,90
BZ1,158.8915mm,-113.3975mm,Top,0
D1,117.0000mm,-80.1000mm,Top,0
D2,136.0000mm,-77.1000mm,Top,0
D3,155.1000mm,-68.1000mm,Top,0
D4,175.9959mm,-78.2186mm,Top,-4
D5,196.9258mm,-92.2048mm,Top,-10
D6,117.0000mm,-99.2000mm,Top,0
D7,136.9970mm,-96.1970mm,Top,0
D8,155.0790mm,-87.1850mm,Top,0
D9,175.0654mm,-97.3043mm,Top,-4
D10,193.6258mm,-111.0048mm,Top,-10
D12,116.8000mm,-118.2900mm,Top,0
D13,148.2000mm,-103.2000mm,Top,90
D14,155.0000mm,-106.3000mm,Top,0
D15,174.5959mm,-116.3186mm,Top,-4
D16,190.3000mm,-129.7000mm,Top,-10
D18,100.8800mm,-106.9600mm,Top,0
D20,107.5220mm,-131.8998mm,Top,-60
D21,129.1030mm,-125.2210mm,Top,-75
J1,82.7750mm,-127.1000mm,Top,90
PSW1,82.8750mm,-62.0000mm,Top,0
RSW1,84.4000mm,-120.2548mm,Top,-90
SW18,95.5900mm,-113.9500mm,Top,0
